tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time,isDirty,errRule,errCol,pk
65,helloflight,CO-52-IAH-LAX,7:35 a.m.,,9:21 a.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,64
66,helloflight,CO-1090-BOS-IAH,9:45 a.m.,,1:16 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,65
67,helloflight,AA-616-DFW-DTW,,10:11 a.m.,,1:11 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,66
68,helloflight,UA-3515-IAD-MSP,,8:26 a.m.,,9:56 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue,;sched_dep_time;act_dep_time;sched_arr_time,67
69,helloflight,AA-3468-CVG-MIA,,7:25 a.m.,,9:29 a.m.,True,;explicitMissingValue;explicitMissingValue;spellingMistake,;sched_dep_time;sched_arr_time;act_arr_time,68
70,helloflight,AA-484-DFW-MIA,,4:29 p.m.,,7:37 p.m.,True,;explicitMissingValue;explicitMissingValue;spellingMistake,;sched_dep_time;sched_arr_time;act_arr_time,69
71,helloflight,AA-1886-BOS-MIA,,10:54 a.m.,,1:36 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,70
72,helloflight,CO-62-IAH-EWR,2:30 p.m.,,7:03 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,71
73,helloflight,CO-1561-PHX-IAH,8:05 a.m.,,11:35 a.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,72
74,helloflight,UA-2314-ATL-PHL,,3:04 p.m.,,4:43 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,73
75,helloflight,AA-446-DFW-PHL,,12:13 p.m.,,4:08 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,74
76,helloflight,CO-1023-IAH-DEN,11:40 a.m.,,1:17 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,75
77,helloflight,AA-466-IAH-MIA,,6:09 a.m.,,8:50 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,76
78,helloflight,UA-3050-PHX-CLT,,11:45 a.m.,,5:00 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,77
79,helloflight,CO-89-IAH-EWR,6:00 a.m.,,10:20 a.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,78
80,helloflight,CO-1088-CLE-IAH,8:40 a.m.,,10:54 a.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,79
81,helloflight,AA-1664-MIA-ATL,,10:19 a.m.,,11:50 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,80
82,helloflight,AA-1279-DFW-PHX,,2:03 p.m.,,3:13 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,81
83,helloflight,UA-854-SFO-IAH,,8:07 a.m.,,1:23 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,82
84,helloflight,UA-382-IAD-LAX,,12:56 p.m.,,3:09 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,83
85,helloflight,AA-4344-ORD-DTW,,12:14 p.m.,,1:55 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,84
86,helloflight,UA-257-JFK-SFO,,2:43 p.m.,,5:22 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,85
87,helloflight,UA-2945-PHL-CLT,,12:07 p.m.,,1:11 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,86
88,helloflight,CO-63-EWR-IAH,5:25 p.m.,,8:22 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,87
89,helloflight,CO-47-IAH-LAX,7:10 p.m.,,8:56 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,88
90,helloflight,AA-2050-ORD-MIA,,11:06 a.m.,,2:39 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,89
91,helloflight,UA-248-PHX-ORD,,1:43 p.m.,,5:24 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,90
92,helloflight,AA-4330-CVG-ORD,3:35 p.m.,,4:00 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,91
93,helloflight,AA-1434-DFW-MCO,,7:22 a.m.,,10:34 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,92
94,helloflight,AA-1640-MIA-MCO,,6:47 p.m.,,7:25 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue,;sched_dep_time;act_dep_time;sched_arr_time,93
95,helloflight,AA-4307-ORD-DTW,,6:56 p.m.,,8:38 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,94
96,helloflight,AA-3-JFK-LAX,,12:12 p.m.,,3:04 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,95
97,helloflight,CO-1694-LAX-IAH,7:15 p.m.,,12/2/11 12:21 a.m.,,True,;explicitMissingValue;Incorrect_Format;explicitMissingValue,;act_dep_time;sched_arr_time;act_arr_time,96
98,helloflight,UA-843-LAX-ORD,,2:04 p.m.,,7:20 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,97
99,helloflight,CO-1193-EWR-MCO,9:15 a.m.,,12:18 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,98
100,helloflight,AA-3842-MSP-ORD,,6:57 a.m.,,7:49 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,99
101,helloflight,AA-643-MIA-ORD,,7:31 a.m.,,9:26 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,100
102,helloflight,AA-1007-MIA-PHX,,5:09 p.m.,,7:43 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,101
103,helloflight,AA-2525-DFW-MIA,,7:39 a.m.,,10:43 a.m.,True,;explicitMissingValue;explicitMissingValue;spellingMistake,;sched_dep_time;sched_arr_time;act_arr_time,102
104,helloflight,UA-2906-PHL-MCO,,4:44 p.m.,,6:28 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,103
105,helloflight,UA-938-DEN-ORD,,4:37 p.m.,,7:23 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,104
106,helloflight,AA-1221-MCO-ORD,,8:23 p.m.,,9:47 p.m.,True,;explicitMissingValue;explicitMissingValue;spellingMistake,;sched_dep_time;sched_arr_time;act_arr_time,105
107,helloflight,CO-16-LAX-EWR,10:25 a.m.,,6:44 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,106
108,helloflight,UA-2515-DFW-CLT,,7:30 a.m.,,10:43 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,107
109,helloflight,AA-400-DFW-JFK,,11:02 a.m.,,2:58 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,108
110,helloflight,UA-664-ORD-PHL,,1:48 p.m.,,4:20 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,109
111,helloflight,AA-3756-ORD-SLC,,12:42 p.m.,,2:50 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue,;sched_dep_time;act_dep_time;sched_arr_time,110
112,helloflight,UA-37-EWR-MCO,1:29 p.m.,,4:17 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,111
113,helloflight,AA-1522-SFO-ORD,,12:11 a.m.,,5:52 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,112
114,helloflight,UA-233-LAX-JFK,,4:28 p.m.,,12/2/11 12:01 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;Incorrect_Format,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,113
115,helloflight,AA-3823-LAX-DEN,,9:06 p.m.,,11:49 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,114
116,helloflight,AA-2312-DFW-DTW,,8:29 p.m.,,11:35 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,115
117,helloflight,AA-1165-JFK-MIA,,7:23 a.m.,,9:45 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,116
118,helloflight,AA-431-MIA-SFO,,8:52 a.m.,,11:33 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,117
119,helloflight,UA-3373-IAD-PHL,,8:37 a.m.,,9:13 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue,;sched_dep_time;act_dep_time;sched_arr_time,118
120,helloflight,AA-649-ORD-SNA,,1:41 p.m.,,3:29 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,119
121,helloflight,CO-1250-MIA-IAH,2:53 p.m.,,4:48 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,120
122,helloflight,UA-6273-YYC-SFO,,7:41 a.m.,,8:33 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,121
123,helloflight,UA-828-SFO-ORD,11:08 p.m.,,12/2/11 5:11 a.m.,,True,;explicitMissingValue;Incorrect_Format;explicitMissingValue,;act_dep_time;sched_arr_time;act_arr_time,122
124,helloflight,CO-4888-IAH-DAL,,5:38 p.m.,,6:19 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,123
125,helloflight,UA-858-PVG-SFO,,1:50 p.m. (+8:00),,7:50 a.m.,True,;explicitMissingValue;Incorrect_Format;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,124
126,helloflight,UA-2704-DTW-PHX,,11:47 a.m.,,1:52 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,125
127,helloflight,AA-3063-SLC-LAX,,8:40 p.m.,,9:12 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,126
128,helloflight,UA-2708-EWR-CLT,,3:04 p.m.,,4:22 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,127
129,helloflight,UA-62-IAH-EWR,2:30 p.m.,,7:03 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,128
130,helloflight,UA-1500-IAH-GUA,8:55 a.m.,,11:45 a.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,129
131,helloflight,AA-3804-PHL-ORD,,2:44 p.m.,,3:36 p.m.,True,;explicitMissingValue;explicitMissingValue;spellingMistake,;sched_dep_time;sched_arr_time;act_arr_time,130
132,helloflight,AA-1917-JFK-MCO,,3:28 p.m.,,5:39 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,131
133,helloflight,AA-2268-PHX-ORD,,7:22 a.m.,,11:04 a.m.,True,;explicitMissingValue;explicitMissingValue;spellingMistake,;sched_dep_time;sched_arr_time;act_arr_time,132
134,helloflight,AA-4277-CVG-JFK,,12:11 p.m.,,1:42 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,133
135,helloflight,AA-2957-DFW-CVG,,8:04 a.m.,,10:58 a.m.,True,;explicitMissingValue;explicitMissingValue;spellingMistake,;sched_dep_time;sched_arr_time;act_arr_time,134
136,helloflight,UA-37-EDI-EWR,9:05 a.m. (-00:00),,11:53 a.m.,,True,;Incorrect_Format;explicitMissingValue;explicitMissingValue,;sched_dep_time;act_dep_time;act_arr_time,135
137,helloflight,AA-789-ORD-DEN,,1:20 p.m.,,2:49 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,136
138,helloflight,AA-415-BOS-ORD,,8:55 a.m.,,10:12 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,137
139,helloflight,AA-85-JFK-SFO,,3:38 p.m.,,6:30 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,138
140,helloflight,AA-3979-CVG-ORD,,8:04 a.m.,,7:59 a.m.,True,;explicitMissingValue;explicitMissingValue;spellingMistake,;sched_dep_time;sched_arr_time;act_arr_time,139
141,helloflight,AA-3786-IAH-ORD,,4:12 p.m.,,6:11 p.m.,True,;explicitMissingValue;explicitMissingValue;spellingMistake,;sched_dep_time;sched_arr_time;act_arr_time,140
142,helloflight,AA-271-MIA-LAX,,11:52 a.m.,,2:21 p.m.,True,;explicitMissingValue;explicitMissingValue;spellingMistake,;sched_dep_time;sched_arr_time;act_arr_time,141
143,helloflight,CO-50-CLE-EWR,2:55 p.m.,,4:49 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,142
144,helloflight,UA-3099-PHX-PHL,,11:55 a.m.,,5:34 p.m.,True,;explicitMissingValue;explicitMissingValue;spellingMistake,;sched_dep_time;sched_arr_time;act_arr_time,143
145,helloflight,AA-4198-ORD-CLE,,10:55 a.m.,,12:37 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,144
146,helloflight,AA-404-MIA-MCO,,6:58 a.m.,,7:37 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,145
147,helloflight,CO-45-EWR-MIA,4:00 p.m.,,7:05 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,146
148,helloflight,AA-3809-PHX-LAX,,6:11 a.m.,,6:15 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,147
149,helloflight,AA-59-JFK-SFO,,7:40 a.m.,,10:52 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,148
150,helloflight,AA-222-LAX-BOS,,7:32 a.m.,,3:12 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,149
151,boston,AA-3859-IAH-ORD,7:10 a.m.,7:16 a.m.,9:40 a.m.,9:22 a.m.,True,;spellingMistake,;act_arr_time,150
152,boston,CO-1586-IAH-MCO,,7:42 p.m.,,10:23 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,151
153,boston,AA-518-MIA-JFK,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:12 a.m.,True,;spellingMistake,;act_arr_time,152
154,boston,UA-397-JFK-SFO,8:00 a.m.,8:49 a.m.,11:55 a.m.,11:35 a.m.,True,;spellingMistake;spellingMistake,;act_dep_time;act_arr_time,153
155,boston,UA-3925-IAD-ORF,,9:01 a.m.,,9:40 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,154
156,boston,AA-1733-ORD-PHX,7:45 p.m.,7:59 p.m.,10:30 p.m.,10:39 p.m.&nbsp(Estimated),True,;spellingMistake;Incorrect_Format,;act_dep_time;act_arr_time,155
157,boston,AA-3-JFK-LAX,12:00 p.m.,12:12 p.m.,3:15 p.m.,3:10 p.m.,True,;spellingMistake;spellingMistake,;act_dep_time;act_arr_time,156
