index,id,beer-name,style,ounces,abv,ibu,brewery_id,brewery-name,city,state,isDirty,errRule,errCol,pk
48,2286,Divided Sky,American IPA,12.0 oz,0.065,,60,4 Hands Brewing Company,Saint Louis MO,,True,;Incorrect_Format;embeddedValue;explicitMissingValue,;ounces;city;state,47
49,2285,Resurrected,American IPA,12.0 oz.,0.065,,60,4 Hands Brewing Company,Saint Louis,MO,True,;Incorrect_Format,;ounces,48
50,1870,Contact High,American Pale Wheat Ale,12.0 oz.,0.05,28.0,60,4 Hands Brewing Company,Saint Louis,MO,True,;Incorrect_Format,;ounces,49
51,2603,Galaxyfest,American IPA,16.0 ounce,0.065,,27,450 North Brewing Company,Columbus,IN,True,;Incorrect_Format,;ounces,50
52,2602,Citrafest,American IPA,16.0 ounce,0.05,45.0,27,450 North Brewing Company,Columbus,IN,True,;Incorrect_Format,;ounces,51
53,2220,Barn Yeti,Belgian Strong Dark Ale,16.0 oz.,0.09,,27,450 North Brewing Company,Columbus,IN,True,;Incorrect_Format,;ounces,52
54,2219,Scarecrow,American IPA,16.0 oz.,0.069,65.0,27,450 North Brewing Company,Columbus,IN,True,;Incorrect_Format,;ounces,53
55,2218,Ironman,English Strong Ale,16.0 oz. Alumi-Tek,0.09%,50.0,27,450 North Brewing Company,Columbus,IN,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,54
56,2217,Honey Kolsch,Kölsch,16.0 ounce,0.046%,15.0,27,450 North Brewing Company,Columbus,IN,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,55
57,2216,Copperhead Amber,Belgian Dark Ale,16.0 oz,0.052000000000000005%,18.0,27,450 North Brewing Company,Columbus,IN,True,;Incorrect_Format;Incorrect_Format;spellingMistake,;ounces;abv;abv,56
58,972,Rude Parrot IPA,American IPA,16.0 oz,0.059,75.0,481,7 Seas Brewing Company,Gig Harbor,WA,True,;Incorrect_Format,;ounces,57
59,866,British Pale Ale (2010),English Pale Ale,16.0 oz,0.054,30.0,481,7 Seas Brewing Company,Gig Harbor,WA,True,;Incorrect_Format,;ounces,58
60,48,British Pale Ale,English Pale Ale,16.0 ounce,0.054,30.0,481,7 Seas Brewing Company,Gig Harbor,WA,True,;Incorrect_Format,;ounces,59
61,47,Ballz Deep Double IPA,American Double / Imperial IPA,16.0 oz.,0.084,82.0,481,7 Seas Brewing Company,Gig Harbor,WA,True,;Incorrect_Format,;ounces,60
62,1583,Wolfman's Berliner,Berliner Weissbier,12.0 oz.,0.038,,373,7venth Sun,Dunedin,FL,True,;Incorrect_Format,;ounces,61
63,1165,Colorado Native,American Amber / Red Lager,12.0 oz,0.055,26.0,462,AC Golden Brewing Company,Golden,CO,True,;Incorrect_Format,;ounces,62
64,431,Colorado Native (2011),American Amber / Red Lager,12.0 ounce,0.055,26.0,462,AC Golden Brewing Company,Golden,CO,True,;Incorrect_Format,;ounces,63
65,516,Jockamo IPA,American IPA,12.0 oz.,0.065,52.0,533,Abita Brewing Company,Abita Springs,LA,True,;Incorrect_Format,;ounces,64
66,515,Purple Haze,Fruit / Vegetable Beer,12.0 oz,0.042,13.0,533,Abita Brewing Company,Abita Springs,LA,True,;Incorrect_Format,;ounces,65
67,514,Abita Amber,American Amber / Red Lager,12.0 oz.,0.045,17.0,533,Abita Brewing Company,Abita Springs,LA,True,;Incorrect_Format,;ounces,66
68,2540,Citra Ass Down,American IPA,16.0 ounce,0.082,68.0,62,Against The Grain Brewery,Louisville,KY,True,;Incorrect_Format,;ounces,67
69,2539,The Brown Note,American Brown Ale,16.0 ounce,0.05,20.0,62,Against The Grain Brewery,Louisville,KY,True,;Incorrect_Format,;ounces,68
70,2686,Citra Ass Down,American Double / Imperial IPA,16.0 ounce,0.08,68.0,1,Against the Grain Brewery,Louisville,KY,True,;Incorrect_Format,;ounces,69
71,2685,London Balling,English Barleywine,16.0 oz.,0.125%,80.0,1,Against the Grain Brewery,Louisville,KY,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,70
72,2684,35 K,Milk / Sweet Stout,16.0 OZ.,0.077,25.0,1,Against the Grain Brewery,Louisville,KY,True,;Incorrect_Format,;ounces,71
73,2683,A Beer,American Pale Ale (APA),16.0 oz.,0.042,42.0,1,Against the Grain Brewery,Louisville,KY,True,;Incorrect_Format,;ounces,72
74,2682,Rules are Rules,German Pilsener,16.0 oz,0.05,25.0,1,Against the Grain Brewery,Louisville,KY,True,;Incorrect_Format,;ounces,73
75,2681,Flesh Gourd'n,Pumpkin Ale,16.0 ounce,0.066,21.0,1,Against the Grain Brewery,Louisville,KY,True,;Incorrect_Format,;ounces,74
76,2680,Sho'nuff,Belgian Pale Ale,16.0 oz,0.04,13.0,1,Against the Grain Brewery,Louisville,KY,True,;Incorrect_Format,;ounces,75
77,2679,Bloody Show,American Pilsner,16.0 oz.,0.055,17.0,1,Against the Grain Brewery,Louisville,KY,True,;Incorrect_Format,;ounces,76
78,2678,Rico Sauvin,American Double / Imperial IPA,16.0 ounce,0.076,68.0,1,Against the Grain Brewery,Louisville,KY,True,;Incorrect_Format,;ounces,77
79,2677,Coq de la Marche,Saison / Farmhouse Ale,16.0 OZ.,0.051%,38.0,1,Against the Grain Brewery,Louisville,KY,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,78
80,2676,Kamen Knuddeln,American Wild Ale,16.0 ounce,0.065%,,1,Against the Grain Brewery,Louisville,KY,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,79
81,2675,Pile of Face,American IPA,16.0 oz.,0.06,65.0,1,Against the Grain Brewery,Louisville,KY,True,;Incorrect_Format,;ounces,80
82,2674,The Brown Note,English Brown Ale,16.0 oz,0.05,20.0,1,Against the Grain Brewery,Louisville,KY,True,;Incorrect_Format,;ounces,81
83,1594,Maylani's Coconut Stout,American Stout,16.0 ounce,0.053,35.0,367,Airways Brewing Company,Kent,WA,True,;Incorrect_Format,;ounces,82
84,1162,Oatmeal PSA,American Pale Ale (APA),16.0 OZ.,0.05,35.0,367,Airways Brewing Company,Kent,WA,True,;Incorrect_Format,;ounces,83
85,1137,Pre Flight Pilsner,American Pilsner,16.0 oz.,0.052,33.0,367,Airways Brewing Company,Kent,WA,True,;Incorrect_Format,;ounces,84
86,2403,P-Town Pilsner,American Pilsner,12.0 OZ.,0.04,20.0,117,Alameda Brewing,Portland,OR,True,;Incorrect_Format,;ounces,85
87,2402,Klickitat Pale Ale,American Pale Ale (APA),12.0 oz. Alumi-Tek,0.053,36.0,117,Alameda Brewing,Portland,OR,True,;Incorrect_Format,;ounces,86
88,2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,12.0 oz,0.082,103.0,117,Alameda Brewing,Portland,OR,True,;Incorrect_Format,;ounces,87
89,1921,Freeride APA,American Pale Ale (APA),12.0 oz.,0.053,40.0,270,Alaskan Brewing Company,Juneau,AK,True,;Incorrect_Format,;ounces,88
90,1920,Alaskan Amber,Altbier,12.0 OZ.,0.053,18.0,270,Alaskan Brewing Company,Juneau,AK,True,;Incorrect_Format,;ounces,89
91,2501,Hopalicious,American Pale Ale (APA),12.0 OZ.,0.057,,73,Ale Asylum,Madison WI,,True,;Incorrect_Format;embeddedValue;explicitMissingValue,;ounces;city;state,90
92,1535,Kentucky Kölsch,Kölsch,16.0 oz,0.043,,388,Alltech's Lexington Brewing Company,Lexington,KY,True,;Incorrect_Format,;ounces,91
93,1149,Kentucky IPA,American IPA,16.0 OZ.,0.065,,388,Alltech's Lexington Brewing Company,Lexington,KY,True,;Incorrect_Format,;ounces,92
94,1474,Dusty Trail Pale Ale,American Pale Ale (APA),16.0 oz. Alumi-Tek,0.054,,401,Amnesia Brewing Company,Washougal,WA,True,;Incorrect_Format,;ounces,93
95,1473,Damnesia,American IPA,16.0 oz,0.062,,401,Amnesia Brewing Company,Washougal,WA,True,;Incorrect_Format,;ounces,94
96,837,Desolation IPA,American IPA,16.0 ounce,0.062,43.0,401,Amnesia Brewing Company,Washougal,WA,True,;Incorrect_Format,;ounces,95
97,2592,Liberty Ale,American IPA,12.0 oz. Alumi-Tek,0.059000000000000004%,,35,Anchor Brewing Company,San Francisco,CA,True,;Incorrect_Format;Incorrect_Format;spellingMistake,;ounces;abv;abv,96
98,2578,IPA,American IPA,12.0 ounce,0.065%,,35,Anchor Brewing Company,San Francisco,CA,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,97
99,2577,Summer Wheat,American Pale Wheat Ale,12.0 oz,0.045%,,35,Anchor Brewing Company,San Francisco,CA,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,98
100,2103,California Lager,American Amber / Red Lager,12.0 oz.,0.049,,35,Anchor Brewing Company,San Francisco,CA,True,;Incorrect_Format,;ounces,99
101,2102,Brotherhood Steam,California Common / Steam Beer,12.0 ounce,0.055999999999999994%,,35,Anchor Brewing Company,San Francisco,CA,True,;Incorrect_Format;Incorrect_Format;spellingMistake,;ounces;abv;abv,100
102,2291,Blood Orange Gose,Gose,12.0 oz.,0.042,,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format,;ounces,101
103,1818,Keebarlin' Pale Ale,American Pale Ale (APA),12.0 oz,0.042,,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format,;ounces,102
104,1738,"the Kimmie, the Yink and the Holy Gose",Gose,12.0 oz.,0.048%,,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,103
105,1563,Fall Hornin',Pumpkin Ale,12.0 oz,0.06,,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format,;ounces,104
106,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0 ounce,0.057,13.0,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format,;ounces,105
107,1350,Summer Solstice,Cream Ale,12.0 ounce,0.056,4.0,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format,;ounces,106
108,1327,Hop Ottin' IPA,American IPA,12.0 oz,0.07,80.0,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format,;ounces,107
109,1326,Boont Amber Ale,American Amber / Red Ale,12.0 oz.,0.057999999999999996%,15.0,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format;Incorrect_Format;spellingMistake,;ounces;abv;abv,108
110,1221,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0 oz. Alumi-Tek,0.057,13.0,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format,;ounces,109
111,1217,El Steinber Dark Lager,Vienna Lager,16.0 oz,0.055,25.0,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format,;ounces,110
112,811,Boont Amber Ale (2010),American Amber / Red Ale,12.0 oz.,0.057999999999999996%,15.0,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format;Incorrect_Format;spellingMistake,;ounces;abv;abv,111
113,753,Summer Solstice Cerveza Crema (2009),Cream Ale,12.0 oz,0.056,4.0,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format,;ounces,112
114,572,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12.0 oz,0.057%,13.0,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,113
115,523,Winter Solstice,Winter Warmer,12.0 ounce,0.069%,6.0,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,114
116,367,Hop Ottin' IPA (2011),American IPA,12.0 ounce,0.07,80.0,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format,;ounces,115
117,78,Boont Amber Ale (2011),American Amber / Red Ale,12.0 ounce,0.058,15.0,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format,;ounces,116
118,77,Summer Solstice (2011),Cream Ale,12.0 oz.,0.056,4.0,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format,;ounces,117
119,76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12.0 oz.,0.055,28.0,171,Anderson Valley Brewing Company,Boonville,CA,True,;Incorrect_Format,;ounces,118
120,2337,Charlie's Rye IPA,American IPA,16.0 ounce,0.06,,146,Angry Minnow,Hayward,WI,True,;Incorrect_Format,;ounces,119
121,410,River Pig Pale Ale,American Pale Ale (APA),16.0 oz,0.054000000000000006%,,542,Angry Minnow Brewing Company,Hayward,WI,True,;Incorrect_Format;Incorrect_Format;spellingMistake,;ounces;abv;abv,120
122,409,Oaky's Oatmeal Stout,Oatmeal Stout,16.0 oz.,0.047%,,542,Angry Minnow Brewing Company,Hayward WI,,True,;Incorrect_Format;Incorrect_Format;embeddedValue;explicitMissingValue,;ounces;abv;city;state,121
123,1294,Angry Orchard Apple Ginger,Cider,16.0 oz.,0.05,,434,Angry Orchard Cider Company,Cincinnati,OH,True,;Incorrect_Format,;ounces,122
124,1293,Angry Orchard Crisp Apple,Cider,16.0 oz.,0.05%,,434,Angry Orchard Cider Company,Cincinnati,OH,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,123
125,1292,Angry Orchard Crisp Apple,Cider,12.0 OZ.,0.05,,434,Angry Orchard Cider Company,Cincinnati,OH,True,;Incorrect_Format,;ounces,124
126,2207,Golden One,Belgian Pale Ale,12.0 oz.,0.068,,193,Anthem Brewing Company,Oklahoma City,OK,True,;Incorrect_Format,;ounces,125
127,2040,Arjuna,Witbier,12.0 ounce,0.06,,193,Anthem Brewing Company,Oklahoma City,OK,True,;Incorrect_Format,;ounces,126
128,2039,Uroboros,American Stout,12.0 OZ.,0.085%,,193,Anthem Brewing Company,Oklahoma City,OK,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,127
129,2511,Long Leaf,American IPA,16.0 oz.,0.071,75.0,69,Appalachian Mountain Brewery,Boone,NC,True,;Incorrect_Format,;ounces,128
130,2510,Honey Badger Blonde,American Blonde Ale,16.0 oz. Alumi-Tek,0.047,19.0,69,Appalachian Mountain Brewery,Boone,NC,True,;Incorrect_Format,;ounces,129
131,2509,Porter (a/k/a Black Gold Porter),American Porter,16.0 ounce,0.06,23.0,69,Appalachian Mountain Brewery,Boone,NC,True,;Incorrect_Format,;ounces,130
132,413,Sky High Rye,American Pale Ale (APA),12.0 oz. Silo Can,0.06%,55.0,541,Arcadia Brewing Company,Battle Creek,MI,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,131
133,390,Whitsun,American Pale Wheat Ale,12.0 oz.,0.062,17.0,541,Arcadia Brewing Company,Battle Creek,MI,True,;Incorrect_Format,;ounces,132
134,735,On-On Ale (2008),American Pale Ale (APA),12.0 oz,0.052,,513,Arctic Craft Brewery,Colorado Springs,CO,True,;Incorrect_Format,;ounces,133
135,1333,Quakertown Stout,American Double / Imperial Stout,12.0 ounce,0.092,50.0,426,Armadillo Ale Works,Denton TX,,True,;Incorrect_Format;embeddedValue;explicitMissingValue,;ounces;city;state,134
136,1332,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12.0 oz.,0.051%,20.0,426,Armadillo Ale Works,Denton,TX,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,135
137,1172,Mo's Gose,Gose,16.0 oz,0.052,10.0,461,Armstrong Brewing Company,South San Francisco,CA,True,;Incorrect_Format,;ounces,136
138,1322,Green Bullet Organic India Pale Ale,American IPA,16.0 oz.,0.07,45.0,429,Asher Brewing Company,Boulder,CO,True,;Incorrect_Format,;ounces,137
139,550,Rocket Girl,Kölsch,12.0 oz,0.032,27.0,528,Asheville Brewing Company,Asheville,NC,True,;Incorrect_Format,;ounces,138
140,429,Ninja Porter,American Porter,12.0 oz,0.053,26.0,528,Asheville Brewing Company,Asheville NC,,True,;Incorrect_Format;embeddedValue;explicitMissingValue,;ounces;city;state,139
141,428,Shiva IPA,American IPA,12.0 oz.,0.06,69.0,528,Asheville Brewing Company,Asheville,NC,True,;Incorrect_Format,;ounces,140
142,1640,Aslan Kölsch,Kölsch,16.0 ounce,0.048,,353,Aslan Brewing Company,Bellingham,WA,True,;Incorrect_Format,;ounces,141
143,1639,Aslan IPA,American IPA,16.0 oz. Alumi-Tek,0.077,,353,Aslan Brewing Company,Bellingham,WA,True,;Incorrect_Format,;ounces,142
144,1638,Aslan Amber,American Amber / Red Ale,16.0 oz. Silo Can,0.077,,353,Aslan Brewing Company,Bellingham,WA,True,;Incorrect_Format,;ounces,143
145,597,This Season's Blonde,American Blonde Ale,12.0 oz.,0.056,27.0,523,Aspen Brewing Company,Aspen,CO,True,;Incorrect_Format,;ounces,144
146,596,Independence Pass Ale,American IPA,12.0 oz,0.07%,67.0,523,Aspen Brewing Company,Aspen,CO,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,145
147,1580,Trolley Stop Stout,American Stout,12.0 oz.,0.057,40.0,374,Astoria Brewing Company,Astoria,OR,True,;Incorrect_Format,;ounces,146
148,980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,12.0 oz.,0.08199999999999999%,138.0,374,Astoria Brewing Company,Astoria,OR,True,;Incorrect_Format;Incorrect_Format;spellingMistake,;ounces;abv;abv,147
149,979,Poop Deck Porter,American Porter,12.0 ounce,0.062,35.0,374,Astoria Brewing Company,Astoria,OR,True,;Incorrect_Format,;ounces,148
150,978,Old Red Beard Amber Ale,American Amber / Red Ale,12.0 OZ.,0.06,35.0,374,Astoria Brewing Company,Astoria,OR,True,;Incorrect_Format,;ounces,149
151,2503,Hop A-Peel,American Double / Imperial IPA,16.0 ounce,0.075,115.0,72,Atwater Brewery,Detroit,MI,True,;Incorrect_Format,;ounces,150
152,2502,Vanilla Java Porter,American Porter,16.0 oz.,0.055%,12.0,72,Atwater Brewery,Detroit,MI,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,151
153,2495,Michelada,Fruit / Vegetable Beer,16.0 oz,0.052,,72,Atwater Brewery,Detroit,MI,True,;Incorrect_Format,;ounces,152
154,534,Dirty Blonde Ale,American Blonde Ale,12.0 oz.,0.045,8.0,72,Atwater Brewery,Detroit,MI,True,;Incorrect_Format,;ounces,153
155,528,Grand Circus IPA,American IPA,12.0 oz,0.05%,62.0,72,Atwater Brewery,Detroit,MI,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,154
156,527,Atwater's Lager,Munich Helles Lager,12.0 oz.,0.05,12.0,72,Atwater Brewery,Detroit MI,,True,;Incorrect_Format;embeddedValue;explicitMissingValue,;ounces;city;state,155
157,1409,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,16.0 oz,0.07,,413,Austin Beerworks,Austin,TX,True,;Incorrect_Format,;ounces,156
158,343,Fire Eagle IPA,American IPA,12.0 OZ.,0.062%,,413,Austin Beerworks,Austin,TX,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,157
159,342,Peacemaker,American Pale Ale (APA),12.0 oz,0.051,,413,Austin Beerworks,Austin,TX,True,;Incorrect_Format,;ounces,158
160,341,Pearl-Snap,German Pilsener,12.0 oz.,0.053,,413,Austin Beerworks,Austin,TX,True,;Incorrect_Format,;ounces,159
161,340,Black Thunder,Schwarzbier,12.0 ounce,0.052,,413,Austin Beerworks,Austin,TX,True,;Incorrect_Format,;ounces,160
162,2589,Raja,American Double / Imperial IPA,12.0 oz.,0.08%,,37,Avery Brewing Company,Boulder,CO,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,161
163,2546,Perzik Saison,Saison / Farmhouse Ale,12.0 oz.,0.064,,37,Avery Brewing Company,Boulder,CO,True,;Incorrect_Format,;ounces,162
164,146,Avery Joe’s Premium American Pilsner,German Pilsener,12.0 oz.,0.047,42.0,37,Avery Brewing Company,Boulder,CO,True,;Incorrect_Format,;ounces,163
165,108,White Rascal,Witbier,12.0 oz.,0.056,10.0,37,Avery Brewing Company,Boulder,CO,True,;Incorrect_Format,;ounces,164
166,107,Avery India Pale Ale,American IPA,12.0 oz,0.063,69.0,37,Avery Brewing Company,Boulder,CO,True,;Incorrect_Format,;ounces,165
